,Sentence,Target
1395,"The appellant did not testify but recalled the stateâ€™s witness Grace Box who testified that shortly after the robbery she â€œpicked out a manâ€ in Ã¡ police line-up, and that he was not the appellant.",Facts
3407,"There are no formal bills of exception, nor are there any informal bills.",Facts
1112,"Jo Ann Williams, the complaining witness, was a 19-year-old colored girl and a student at Jack Yates Senior High School- In July, 1960, not having menstruated since April, she went to see Dr. Phillips.",Facts
2465,"The statement of facts prepared and certified by the trial judge shows that appellant and his wife lived near a hotel they owned, of which one Jerry Thompson was manager.",Facts
2655,He further testified that none of the officers told him he was under arrest.,Facts
505,"345, 251 S.W. 222, page 224, that the rule laid down in the McIntosh case, supra, does not hold good as to vagrancy convictions dependent upon proof of things other than prostitution.",Invalid
487,* * * A variance as to name in an indictment has been held not fatal if it is not the name averred to be forged.â€™,Analysis
1196,"On January 3, 1962, Judge W. A. Morrison of this court granted appellantâ€™s application to file an original application for habeas corpus with this court, and bail was set at $5,000.00.",Facts
1195,"On January 2, 1962, the District Court of Bowie County revoked a five-year probationary sentence which had been given appellant on September 11, 1961.",Facts
1701,The trial court erred in submitting to the jury the issue of rape by threats.,Analysis
360,Once again defendants base their claim that the Court lacks jurisdiction over these counts on a reading of Section 6500.10.,Facts
3307,The evidence clearly shows that appellant bought a bottle of beer for the minor and caused him to partake thereof.,Analysis
682,Appellant relies upon the rule stated in Gibson v.,Invalid
3427,Three additional cases of beer were found stacked behind the back part of the seat and a bottle of beer was found in the glove compartment.,Facts
3056,Appellant contends that the evidence is insufficient to sustain his conviction as a principal to the murder.,Issue
1342,"Such verdict, not being responsive to the crime charged and submitted to the jury was a nullity and could not support the judgment and sentence entered by the court.",Analysis
701,"Appellant took the witness stand and testified substantially to the same facts contained in the statement, and he cannot now claim to have been injured by the introduction of the statement in evidence.",Facts
2734,Mrs. Haynes witnessed the collision and observed appellant sitting in the automobile he was driving.,Facts
3084,"Appellant testified that he consumed five twelve ounce bottles of beer between 8:30 and 11:30 P.M. prior to his arrest, but denied that he was intoxicated.",Facts
3160,"He further testified that, on such occasion, appellant was working at the place “taking or",Invalid
2033,"â€œMR. KNIGHT: We move for a mistrial on the base of the inflammatory, prejudicial use of the word â€˜murderâ€™ in counselâ€™s argument.",Facts
440,"That all permitted signs are illegal per se if not in English or Chamorro or without a translation into either, is contradictory to the most basic right of a democratic society - the First Amendment right to freedom of speech.",Conclusion
1092,It was further shown that other women had been arrested at the house for being common prostitutes and that appellant had been advised by the officers.,Facts
2174,Darden Jr. testified: â€œI could tell he was drunk â€” by the way he was staggeringâ€ but did not get close enough to smell his breath.,Facts
2698,"In the instant case, we feel that most of the statements made by the various witnesses in their testimony on the motion, for new trial constituted misstatements of law which no doubt caused the sentence imposed to be enhanced beyond what it would have been had the statements not been made.",Analysis
1987,"Witnesses were called by appellant, including two women passengers in the car with him, who testified in support of his contention that he was not intoxicated.",Facts
1800,"This was denied by Hart-well, his wife, and Mrs. Venable, the only other person in the automobile.",Facts
2631,"Dr. Mason was then further examined and thereafter was permitted to read to the jury the information that was contained on the outside of the specimen, over the objection: â€œYour Honor, again I would like to object to the improper predicate being laid and hearsay testimony.â€",Facts
265,13-116.,Invalid
2880,The record shows that the indictment was returned against appellant by a grand jury which was empaneled at the August 1959 term of the Criminal District Court of Harris County.,Facts
2239,"First, he complains of and submits as error the action of the trial court in failing to instruct the jury relative to the application of the suspended sentence law.",Issue
1430,"The conviction is for driving while intoxicated; the punishment, 3 days in jail and a fine of $50.00.",Rule/Law/Holding
2957,We also overrule the contention that an issue should have been submitted to the jury as to whether or not a conspiracy to commit the burglary and theft existed.,Conclusion
107,The language of the court in Pipes is equally appropriate to the matter now on appeal before this Court.,Analysis
2572,Appellant complains of the refusal of the trial court to grant a mistrial when a stateâ€™s witness volunteered information that appellant had taken a lie detector test.,Issue
2138,I remain convinced of the soundness of the very recent holding in Borroum v.,Invalid
706,Appellant was convicted in the Corporation Court of the city of Houston for violation of a city ordinance.,Facts
333,"On December 5, 1979, a Stay Order wasâ€™ entered by the District Court, ordering the Superior Court to refrain from taking any further action in People v. Flores, supra, pending the final determination of a December 5, 1979 Writ of Prohibition filed by the Government.",Facts
3027,"459, 314 S.W. 2d 605, the witness Monk testified that the man driving the Ford automobile involved in a collision with another car was the sole occupant thereof and that, following the collision, he saw this man “ ‘flying through the air’ ” and falling to the shoulder of the highway, where he lay motionless until the officers arrived.",Invalid
2120,We find the evidence sufficient to sustain the juryâ€™s verdict finding appellant guilty of murder with malice and assessing his punishment at 99 years in the penitentiary.,Analysis
273,"If adequate notice was given to counsel for the Government, perhaps the Superior Court would have been supplied with the",Invalid
1180,Officer Jarke was later called as a witness by the State and described in detail the drunkometer test which he administered to appellant.,Facts
2527,"Testifying in his own behalf, appellant denied breaking and entering the liquor store on the night in question.",Facts
3134,"Certain clothing of appellant was introduced in evidence, including a pair of white pants, a white shirt, and a pair of shorts worn by the appellant which, upon being examined by Chemist Charles Smith of the Texas Department of Public Safety, was found to contain seminal stains thereon.",Facts
1349,"Testifying in his own behalf, the appellant admitted that he was driving the car, and that two of the cases of beer in the car belonged to him which he had purchased for his own consumption.",Facts
949,"He testified that appellant was driving one of the pickups, a black CMC truck, and George Anthony Angold was driving the other, a red Ford â€¢pickup; that he asked Angold in appellantâ€™s presence where he got the cedar posts, and â€œhe said he just cut those cedar posts up near Boerne.â€",Facts
732,Appellantâ€™s first claim of error is that the State tendered to,Invalid
404,"The Government asserts that ""... there is certainly a reasonable relation between the requirement of a translation on advertising signs and the heretofore referenced public interests which the statute was enacted to protect.""",Issue
484,"), did not become effective until September 1, 1961, and we do not therefore pass upon the question of the admissibility of a permit issued pursuant to that statute.",Invalid
1327,"State, supra, this Court, in upholding a conviction for forgery of a draft in which there was doubt as to upon whom it was drawn said:",Invalid
493,"104, Section 243, states that crimes that involve moral turpitude, so as to make a conviction or charge of them available as impeaching matter, include the following offenses: any felony;",Invalid
2606,"Appellantâ€™s wife testified that appellant had â€œseveral beersâ€ on the afternoon in question and that he ran into the tank truck because he did not see it, but that appellant was not intoxicated and did not appear â€œin his normal rational state of mindâ€ while at the hospital.",Facts
2958,"We are unable to agree that the evidence shows entrapment of appellant, as a matter of law, in commission of the offense.",Conclusion
485,* * * * It appears that the Appellant Barton was among the guests residing at the Cypress Hotel.,Facts
652,"Appellant first contends that the indictment in this case is fatally defective in that it does not allege that the appellant â€œunlawfullyâ€, â€œwillfullyâ€, and â€œdesignedlyâ€ performed the abortion in question, and therefore fails to meet the requirements of Article 1191, V.A.P.C.",Issue
400,"The Government's Complaint alleges that Defendants, owners of a store on San VÃ­tores Road in Turnon Bay violated Â§17402 by displaying signs in Japanese without a translation into English or Chamorro.",Issue
2032,"â€œMR. KNIGHT: Just one minute, may it please the Court.",Facts
860,Filer: What is that disability is the next question.,Facts
3398,"The trial judge sustained appellant’s objection and instructed the jury to disregard such remarks, but overruled appellant’s motion for mistrial.",Facts
1946,When she got the whisky I pulled the gun on her and told her to put the money in the sack and forget about the whisky.,Facts
1860,"We are unable to agree with the stateâ€™s contention that the indictment referred to in the question may have been that upon which appellant was on trial, rather than other indictments of which he had certified copies.",Analysis
2507,This exact question was before this court in Everett v.,Invalid
361,"Rather, it provides that judgment or settlement of a government claims action bars further action against the employee (6500.20).",Facts
232,1971); cert.,Invalid
1367,The Court: â€œAll of you hold up your right hand that feel that way about it.â€,Facts
464,"""It is generally believed that one of the reasons the statute was enacted was to regulate the many businesses on Guam which have signs entirely in a language other than English or Chamorro that were reported to be advertising pornographic materials for sale.",Analysis
516,"556, 251 S.W. 2d 401, wherein complaint is made of the receipt in evidence of the proof showing the collision of the automobiles and the resultant injuries to some of the occupants thereof.",Invalid
839,Dr. Phillips said that he examined Jo Ann Williams at that time and that in his opinion she was pregnant.,Facts
1743,"There is no showing in the record what the answer of any venireman would have been, and there is nothing to show that any objectionable juror served on the jury, or that appellant exhausted his peremptory challenges, or that appellant was prejudiced because any juror had or did not have conscientious scruples against the infliction of death as a punishment for the crime of rape.",Analysis
3100,Appellant’s confession was introduced into evidence by the state which recites that on the date in question he drove his car to the home of Alfred and Ramon Gonzales; that Alfred asked him to take them to a filling station and he replied that he,Facts
3320,The Hatcher boy shot at their car with a .22 rifle as it was being driven away.,Facts
231,"U.S. v. Karnes, 437 F.2d 284, 287 (9th Cir.",Invalid
2111,She knew she had done wrong by getting drunk that morning and starting again.â€,Facts
853,Engle and Linda ran into the bathroom and appellant was apprehended in the kitchen.,Facts
1521,The jury are the exclusive judges of the credibility of the witnesses and the weight to be given to their testimony.,Rule/Law/Holding
2870,"The prosecuting witness, Hill, testified that the cash market value of the automobile was â€œbetween two and a quarter and three hundred dollars.â€",Facts
2964,We do not feel that the question here presented is in any way identical with the facts in Montello.,Analysis
275,What plaintiff has done is,Invalid
2031,"â€œMR. BROWN: Your Honor, we object to any conversation that they had after he was placed under arrest.",Facts
1868,We do not deem the defects such as would render the judgment insufficient for use in charging a subsequent offense of driving while intoxicated.,Analysis
780,"Because of the suspicious nature of the circumstances, he jotted down the make, year and license number of the automobile and transmitted such information to the officers.",Facts
2647,He also testified that the photograph contained in the prison records was that of the appellant.,Facts
428,(b) The Government of Guam shall be liable in tort for damages arising from the negligent acts of Government Health Professionals performed within Government of Guam facilities as an agent of the Government of Guam at the request of the government.,Rule/Law/Holding
551,"About two weeks ago I askâ€” him if he had received any eviction papers, he said, no I have not heard anything about any papers.",Facts
2505,The question of jury separation sought to be raised in the statement of facts does not reflect error.,Analysis
58,"A prisoner has certain vested rights, similar to a parolee, once he is afforced the benefits of participating in a work-release program.",Facts
967,"His examination also revealed a purulent discharge from the vagina caused, most likely, by a gonococchi infection, that the hymen was not intact, and that the vagina would admit his small finger.",Facts
3004,"* * *” This appeal, in effect, represented to the jury that appellant had not previously served time in jail for an offense.",Facts
294,This reading of Â§6500.10 reaches an absurd result.,Facts
3294,The case was tried before a jury and a verdict,Invalid
1054,"In the search of the apartment, the officers found a rubber bulb and eye dropper in a ladyâ€™s overnight case in the kitchen.",Facts
1415,The bills were approved with the qualification that there were four people with the defendant at the time of his arrest and there were four witnesses sworn for the defendant in the presence of the jury at the trial and available to defendant.,Facts
1428,"The conviction is for assault with intent to murder without malice; the punishment, three years.",Facts
1715,The voluminous record containing a statement of facts of 615 pages shows a merciless killing of the deceased.,Facts
1921,We said: â€œIn the absence of a showing in the bill that the conversation was,Facts
25,"""If an indictment has been found or accusation presented against a defendant, such stenographic reporter shall certify and file with the county clerk an original transcription of his shorthand notes and a copy thereof and as many additional copies as there are defendants.",Facts
1601,The petition for habeas corpus is denied.,Conclusion
248,1116 (U.S. 1965).,Invalid
2302,"The indictment was presented against the appellant on April 20, 1959.",Facts
16,"The general rule regarding the recording of grand jury proceedings is that, in the absence of statute, the grand jury is not required to transcribe or record the proceedings brought before it.",Facts
1046,In the collision appellant and two of the occupants of the Chevrolet automobile were thrown from the vehicles in which they were riding.,Facts
1830,Under the evidence there was no issue raised that the cause of the collision and death of the deceaseds was entirely disconnected with appellantâ€™s intoxication and therefore a defensive charge as to the causal connection was not required.,Analysis
2886,The separation of a part of the jury with an officer is not cause for reversal if no probable injury is shown.,Analysis
3044,"And the said defendant, John Leonard Lee, having on the 26th day of February, A.",Invalid
168,And as P.L.,Invalid
785,"Betty, according to her own testimony, approached the automobile in which the Hartwells were seated and invited Mrs. Hartwell outside.",Facts
2075,The record on appeal contains no statement of facts or bills of exception.,Facts
2743,No hospital records were offered.,Facts
1065,Is this beer here yours?,Facts
994,"I was in the trailer house and he called me, out there in the back yard.",Facts
2444,One cannot be both a bailee and a thief at the same time.,Analysis
3355,The point of contact between the two cars occurred below the crest of a hill on the highway.,Facts
1513,The judgment and sentence as recorded in the minutes show a conviction for assault with intent to murder.,Analysis
325,"Defendant argues that the correct interpretation of the various provisions is that the Claims Act procedures are applicable while in the event of liability, GMH funds, rather than Government Claims Fund, will be drawn against.",Facts
2665,"He stated that Tafolla and appellant walked together to a shack on Montezuma Alley, which they entered and where they remained approximately ten minutes, and when they emerged they walked back to the Soto cafe, at which point they separated, and Tafolla proceeded back to the government automobile.",Facts
3234,"Observing that the man started the car without difficulty and drove away, the officer noted the license number and checked the drug store which he had been informed someone had attempted to break into a week or ten days before.",Facts
376,"If the claim gives such facts as would enable the Government to investigate its liability, it should be judged sufficient.",Facts
1411,"The arresting officers, and a third officer who observed appellant after his arrest, expressed the opinion that appellant was intoxicated.",Facts
567,"After receiving $71.17 in change, appellant left but never returned for the groceries.",Facts
1234,"P.C., for the offense of murder without malice with punishment assessed at confinement in the penitentiary for a term of five years.",Rule/Law/Holding
299,"Though the Government has so far restricted itself to ""the shopowners and business affected by the legislation"", this is of little comfort.",Facts
375,The Court notes that such a claim may often be prepared by a lay person of limited education.,Facts
2512,The contention is without merit as a middle initial may be,Invalid
2522,"As the officers approached, appellant and his companions ran and the officers gave pursuit.",Facts
123,"If the Guam Power Authority is ""autonomous"" as set forth in Â§21502, how can an agency relationship exist between it and the Government of Guam?",Analysis
225,The better practice is to record all proceedings had before the grand jury.,Issue
2714,It is our conclusion that the facts are sufficient to sustain the juryâ€™s verdict.,Conclusion
1587,The officerâ€™s education and training was similar to that of Lt.,Invalid
3467,"Where appellant fails to apply for subpoenas for witnesses, the overruling of the motion for continuance to secure attendance of witnesses is not error.",Analysis
2400,"The offense is charged by) indictment returned and presented by the grand jury of Dallas County, Texas, into the Criminal District Court of Dallas County.",Facts
1458,"The deceased also passed Vincent Lucio, his wife Isabella and his sister Mary Lou, who were at or near the corner where there was a bus stop.",Facts
2172,There was sufficient evidence also to sustain the juryâ€™s finding that appellant was intoxicated.,Analysis
3353,"The officers walked up to the truck, looked in, and found “a load of cased wine and stuff,” being “fifteen cases of wine, ten cases of quart beer, and about ten half-pints of whisky in a paper sack.”",Facts
1331,"Stateâ€™s witness Joan Brock, upon being returned from the Department of Corrections where she was serving a life sentence for this offense, gave at the trial this version of the events connected with this homicide.",Facts
263,(Emphasis added).,Invalid
1081,"It is observed that no motion for a new trial was filed, and the court in its charge to the jury did not mention the death penalty.",Analysis
2169,"Charles Regusa, who owned the pickup truck and also owned and was driving the car being pushed, testified that while he was looking for his neighbor Morgan Ness, the driver of the truck, and was asking for him, the appellant â€œwalked up to me and said, T was driving the car.â€™ and I said â€˜Are you hurt?â€™ and he said, â€˜No.â€™ â€",Facts
3165,"Highway patrolman Tidwell testified that he went to the scene and found that an automobile had turned over “more than one time” and that he then went to the hospital, where he saw appellant.",Facts
1084,It is the rule that if the variance between the indictment and the copy is immaterial and could not mislead the defendant it will be held to be a correct copy.,Rule/Law/Holding
2540,"When such error is for the first time called to the attention of the trial court in a motion for a new trial, this court will not reverse because of it, unless it appears, from the whole evidence adduced on the trial, that the defendantâ€™s rights may have been injured in consequence of it.â€",Rule/Law/Holding
1901,We have examined each with care but have concluded that none reflects reversible error and that a discussion thereof would not add to the jurisprudence of this State.,Analysis
2470,"Jerry Thompson testified that she told Miller to put the beer in the machine, and testified: â€œI guess the beer belonged to some of the roomers.",Facts
2021,â€œIn Chief Frazierâ€™s office in the sheriffâ€™s office in Houston.â€,Facts
980,"I asked him if he had had anything to drink, an alcoholic beverage, and he said, â€˜Yes,â€™ he had had quite a few beers.",Facts
775,"At.the .trial, appellant testified as a witness in his own behalf",Invalid
1193,"On April 24, 1961, motion for new trial was filed and on May 3, 1961, evidence was presented and heard in connection with which it was shown that appellant had been adjudged to be a delinquent child in the Court of Domestic Relations in Potter County on December 30, 1959, the court finding in his judgment that appellant was born on November 12, 1944.",Facts
3471,"Within a matter of minutes, McDade confessed, but told the officers that they had left the body of the deceased",Invalid
1523,The jury by their verdict resolved the disputed issues against,Invalid
1179,Officer Jarke testified that the photograph was a fair and accurate representation of a Harger Drunkometer and identical to the one used in the police department.,Facts
987,"I paid $25.00 for this gun, then rode the Ervay bus to South Dallas, got off on Colonial and walked over to S. Lamar Street near Hatcher, I had planned to rob one of the liquor stores at this location.",Facts
2670,He stated that he then saw that they were officers when his wife turned on a light; that Officer Dillard â€œran intoâ€ him as he started getting up from the bed and they then fell across it together; that he did not remember seeing what happened â€œbecause they was all of top of [him] â€; that someone hit him in the head with a pistol.,Facts
1295,"She telephoned the deceased at his place of employment and, when he came home, they got in an argument and she shot him as he tried to take the gun away from her.",Facts
554,"According to the stateâ€™s witnesses, during his assault on Hart-well, appellant, in answer to his motherâ€™s warning that he would go to jail again if he did not stop, said, â€œI will kill the bastard.â€",Facts
2872,"The prosecutrix, age sixteen, testified that the appellant was her father and that he had had sexual intercourse with her since she was 10 or 11 years of age, and that such acts, at times, were as frequent as twice a month including an act on or about April 2,1957 as alleged in the indictment.",Facts
1022,"In opening argument, the prosecutor argued as follows:",Invalid
1467,"The evidence admitted without objection shows that appellant conversed freely with the officers; stated that he had â€œhad a little at his jobâ€, when asked if he had been drinking; and when asked about the sign on the hood of his car, answered â€œWhat sign?â€",Facts
2738,"Mrs. Williamsâ€™ testimony, on the other hand, shows that he could not have committed the burglary had he at the time been in a seizure or suffering from the effects of a recent seizure.",Analysis
207,"If such discussions are allowed, it would be impossible for the defendant, or for a court sitting in review of alleged impropriety in the proceedings, to determine with specificity what testimony or other statements were considered in the return of an indictment.",Others
3115,"As the officer stopped the patrol car he was driving along side of the parked car, a man was walking across the street from the direction of the drug store to the car and got in on the driver’s side.",Facts
523,"633, 3 S.W. 784, is that in the absence of proof of threats it is error for the trial court to authorize the jury to convict on the theory that the rape was committed by threats.",Invalid
3402,"The witness expressed the opinion that from what appellant said, his conduct, and the “way he smelled” appellant was “drunk.”",Facts
1594,The opinion reversing the conviction is in conflict with Garland v.,Invalid
1702,"The trial court instructed the jury to disregard the statement, but overruled appellantâ€™s motion that a mistrial be declared.",Facts
155,"Pursuant to Government Code Â§6500.15, trial was before the court, without jury.",Rule/Law/Holding
1970,"While it is true that the exhibits had been identified by another witness, in the absence of anything in the record to the contrary, we must be bound by the courtâ€™s qualification of the informal bill when he stated that they had not been exhibited to the jury as they were still in the sack.",Analysis
335,"This Memorandum Order results from the December 27, 1979 hearing on Writ of Prohibition, in which counsel for all interested parties appeared.",Facts
53,"Although Government Code Â§6500.10 speaks of suing the Government of Guam as the exclusive remedy, this is a law of general applicability.",Facts
2162,There was but one occupant of the speeding car.,Facts
1780,This court held in Ellis v.,Invalid
1875,We find no merit in appellantâ€™s contention that the court erred in permitting the State to introduce in evidence a photograph of a Harger Drunkometer Machine over the objection that it was not shown to be a true picture of the machine used at the time appellant was given the breath test.,Analysis
1337,Such is not the case before us here because the instrument relied upon is clearly a check.,Others
1600,The permit offered in evidence was not a defense to the charge of possessing intoxicating liquor in a dry area for the purpose of sale.,Facts
256,1A Section 23.10.,Invalid
3013,“The omission from the caption of any notice of intention to change the penalty renders the amending act inoperative.”,Rule/Law/Holding
1665,The sole question presented and urged upon the appeal is the contention that appellantâ€™s plea of former jeopardy should have been sustained.,Issue
845,During all of the time Matthews was drinking beer.,Facts
703,"Appellant was arrested on the night of the killing, around 1:55 A.M., and on the afternoon of January 2, accompanied the officers to his home where they recovered a .38 caliber pistol from a trash can, which appellant admitted was the pistol with which he shot the deceased.",Facts
1273,"Several days after the killing, - appellant was arrested by Officer Kennedy at the rooming house where he lived.",Facts
3204,"In view of the authorities heretofore cited, we hold that the relator is entitled to be discharged.",Conclusion
1199,"On October 30, the appellant was apprehended by the officers in Houston while carrying a loaded .32 revolver in the center of his back underneath his shirt and belt.",Facts
3372,"The record shows that counsel for the defendant made his request before the list of jurors chosen had been prepared by the clerk and, according to said counsel’s affidavit, “before either defendant or affiant had seen the list furnished said clerk by counsel for the State, and not knowing what if any strikes the State had made thereon.”",Facts
1497,"The girl, then, headed back hastily toward the corner.",Facts
305,The defendant was represented by Assistant Public Defender Richard Pipes and the Territory of Guam was represented by Deputy Attorney General R. Barrie Michelsen.,Facts
2740,Neither did the sureties bring themselves within any of the statutory provisions which would exonerate them or under which a forfeiture could be remitted.,Analysis
2243,Appellant then rested his case.,Facts
1546,The motion to quash the indictment which was filed failed to complain of the absence of innuendo averments.,Rule/Law/Holding
535,A partially empty bottle of Ballentineâ€™s Scotch Whisky was found in appellantâ€™s automobile.,Facts
2541,* * * When I came upon the scene and pulled my car off the road and stopped and looked over * * * the accident he (appellant) was standing right there.,Facts
340,"The November 26, 1979 Decision and Order of the Superior Court is vacated, and the Superior Court is ordered to schedule a hearing on the disqualification issue with full and adequate notice being given to counsel for both sides.",Facts
2426,and after being shot at five times while running a road block he wrecked the automobile and was apprehended.,Invalid
2588,"Appellant urges as fundamental error, (1) that the indictment presented against him was returned by a grand jury which was not duly and legally impanelled and (2) that the Criminal District Court No. 4, in which he was tried and convicted, was without jurisdiction and authority to try him because the cause had not been legally transferred to said court.",Issue
343,"On June 29, 1972, plaintiff filed its complaint against defendants on a guaranty instrument.",Facts
3333,"The minor stated that, on such occasion, appellant did not ask him his age and that he had taken one drink from the bottle before the officers arrived.",Facts
1289,"She saw the appellant standing behind the prosecutrix when the door opened, but he shut it as soon as she came out.",Facts
1093,"It was further shown that several weeks before the killing, the stateâ€™s witness had quit dating appellant and at that time appellant stated that if he ever saw her with anyone he would kill them.",Facts
2841,"The indictment, the recognizance, the judgment nisi and the mandate of the Texas Court of Criminal Appeals affirming the judgment of the trial court were introduced in evidence and they appear to be regular and valid.",Analysis
212,Defendant's motion is DENIED.,Others
1544,The motion for new trial is but a pleading and as such must be supported by proof.,Analysis
1113,"Jo Ann attended school the next day, finished her classes at about 12:00 oâ€™clock and went straight home.",Facts
186,DECISION AND ORDER,Invalid
1039,"In the case at bar, appellant testified substantially in accordance with his exculpatory statement and made no objections or requests regarding the courtâ€™s charge.",Facts
855,"Evidence was then adduced by the state from the witness Mrs. Evelyn Smith, shown to be the clerk of Judge Glen Byrdâ€™s court.",Facts
1094,It was held that the trial judge did not abuse his discretion in discharging the jury and the accusedâ€™s plea of former jeopardy was properly overruled.,Conclusion
3098,"Appellant’s companion, who was serving a life sentence for the crime in question, testified fully as to appellant’s participation therein.",Facts
1928,We think the indictment not vulnerable to the attack.,Analysis
3286,"The appellants contend that a bail bond conditioned for the appearance of the accused before a designated court only, must be forfeited in that court.",Issue
650,"Appellant excepted to the order of the trial court and gave notice of appeal to this court and sought to enter a recognizance, presenting two citizens of Bowie County alleged by him to be well qualified as sureties and who sought to make a recognizance for him.",Issue
1412,"The assistant supervisor, so far as this record discloses, had no authority to carry a pistol and had no authority to deputize appellant so as to authorize him to do so.",Rule/Law/Holding
437,"A comment about the appeal record is appropriate here, especially in light of the recent amendment to the District Court Rules of Appellate Procedure stating that sanctions will be imposed against counsel who unreasonably order excessive parts of the record (Rule 8(b)).",Rule/Law/Holding
552,"Accident Investigator Middleton, who went to the scene, testified without objection that in his opinion the appellantâ€™s automobile was traveling south on Westmoreland and the Chevrolet automobile was traveling west on Ledbetter.",Facts
3021,"1958, which reads as follows:",Invalid
2360,The money and robbers were gone when they looked up.,Facts
3030,"A litigant is not permitted during a trial on the merits to remain silent as to affirmative defenses known to him, and then when an adverse result is reached, on motion for new trial complain because of his own neglect.",Rule/Law/Holding
1952,"When the present case was called for trial on May 15, 1961,",Invalid
421,"""The rewriting of a statute for the purpose of bringing about a particular result is certainly not within the judicial function.""",Rule/Law/Holding
2948,"Toxicologist Metz testified that an examination of the specimen of appellantâ€™s blood showed that it contained .165 percent of alcohol, which, according to standards set by the American Medical Association and the National Safety Council, indicated intoxication.",Facts
2728,"Judgment nisi was entered on February 23, 1959, when Phillip M.",Facts
3156,He alleges that the court erred in admitting the oral confession of appellant which led to a discovery of the body of the deceased.,Issue
2700,In the recent case of Dinsmore v.,Rule/Law/Holding
947,He said he would,Invalid
1293,"She stated that in the course of plying her trade as a prostitute, she became acquainted professionally with the deceased, that he later took her to his drug store where he delivered certain narcotics to be sold by her in Houston, and an even division of the proceeds of the sale to be effected.",Facts
2881,The relief to which appellant appears to be entitled is one appropriate to a mandamus proceeding in a proper court to require the county judge to permit the amendment of the bond.,Issue
3107,"Appellant’s waiver of service of citation, his appearance and participation in the trial on the merits, followed by his denial for the first time in his motion for new trial that he signed the bond, but without stating any excuse or justification for failing to raise such issue before, does not show any error in the refusal of the motion.",Analysis
391,"First, we agree with the defendants-appellants that the court committed error when it held that upon sale of the property in question the plaintiffs only had to pay Ten Thousand Dollars and then pay the remaining Ten Thousand Dollars in two yearly installments of Five Thousand Dollars.",Facts
158,"See, Brown v. Arrington Construction Co., 74 Idaho 338, 262 P.2d 789, dicta (1953).",Rule/Law/Holding
2500,The witness Nix testified that a building in Houston under his control was burglarized on the night charged in the indict,Invalid
3064,"Appellant filed an amended answer October 21, but therein",Invalid
3067,Appellant further contends that the caption of the act amending the statute in question omits mentioning an intent to change the penalty provided for in the body of the act. It is appellant’s position that these contentions advanced by him make the act unconstitutional as being contrary to Art. 3 of Sec.,Issue
3252,"Police Officer Jack Scott, of Bellaire, saw an automobile parked near a drug store about 3:20 A.M. Appellant was sitting in the parked car.",Facts
2364,He denied that he was sitting by Lopez or near the sack of money when the officers arrived.,Facts
2427,The facts and circumstances are sufficient to warrant the juryâ€™s conclusion that the appellant fradulently converted the car to his own use with the intent to deprive the owner of the value thereof in El Paso County.,Analysis
688,"Appellant stated that as he walked into the house he heard someone running and heard his girl friend say, â€œNolen Darlingâ€ and a",Invalid
2060,"â€œThe fact that a defendant in a criminal case * * * is, or has been, charged by indictment * * * with the commission of an offense against the criminal laws of this state, of the United States, or any other state shall not be admissible in evidence on the trial of any criminal case for the purpose of impeaching any person as a witness unless on trial under such indictment * * * a final conviction has resulted, or a suspended sentence has been given and has not been set aside, or such person has been placed on probation and the period of probation has not expired.â€",Facts
548,"About 15 minutes later Virginia Mitchell, the female named in the complaint and information, came to the room and solicited Hadley for a $20 prostitution date.",Facts
1542,"The line of questioning pursued by the state, at the time questions were being asked appellant and the witness Coleman, was framed in such manner as to elicit the desired and necessary information to show the subsection of the vagrancy statute, for the state did inquire if the judgment showed a conviction for the offense of vagrancy, to-wit: being then and there a common prostitute, and for the offense of vagrancy, to-wit: associating with and receiving aid from known prostitutes.",Analysis
2593,"Appellant was seen to drop a small paper bag out of the car window which burst open, allowing its contents to scatter.",Facts
3228,"Not being thus raised, the presumption of regularity obtains.",Conclusion
1518,The judgment is reversed' and the cause remanded.,Conclusion
328,"Although the issue is not squarely before the Court at this time, it will be noted that ""claims against"" GMH in Â§6500.19 may in fact mean suits against Health Professionals employed by GMH.",Facts
1738,There is also a statement of facts containing a transcript of the testimony on hearing the motion for new trial.,Others
1694,"The testimony of the witness Auten reflects that he was an employee of the Department of Public Safety in the Intelligence Section and that during the months of October, November and December, 1960, while working undercover in Beaumont, he made various bets on horse races and football games at the Texas Club.",Facts
3335,The motion for rehearing is denied.,Conclusion
2902,"The testimony of the state shows that during the morning of March 12,1959 appellantâ€™s brother Robert Williams, the deceased and several other colored men, were engaged in a dice game.",Facts
1995,"prior to the amendment in 1961 (Acts 1961, p. 706) which increased the maximum punishment for assault with intent to murder with malice to 25 years but limited the double penalty feature to murder without malice when made with a bowie knife or dagger, or in disguise, or by laying in wait, or by shooting into a private residence.",Invalid
1,This matter came before the court on Plaintiff's motion for an order to show cause.,Facts
1328,"Stateâ€™s Exhibit 16, which was admitted without any objection to the effect that it was inflammatory, is a picture of the front seat of the automobile in question with the plastic seat covers in place.",Facts
2678,He was uncooperative.,Facts
98,It therefore appears that Mr. Cate would not be liable for any of the present judgment.,Analysis
3363,"The purported formal bill of exception, although not filed within the time required by statute, was refused by the trial judge for the reason thereon stated when presented to him for approval.",Facts
